userId,startDate,endDate
41,2019-01-01 00:00:00,2019-01-07 00:00:00
41,2019-01-08 00:00:00,2019-01-14 00:00:00
41,2019-01-15 00:00:00,2019-01-21 00:00:00
41,2019-01-22 00:00:00,2019-01-28 00:00:00
41,2019-01-29 00:00:00,2019-02-04 00:00:00
41,2019-02-06 00:00:00,2019-02-12 00:00:00
41,2019-02-14 00:00:00,2019-02-20 00:00:00
41,2019-02-21 00:00:00,2019-02-27 00:00:00
41,2019-03-01 00:00:00,2019-03-07 00:00:00
41,2019-03-08 00:00:00,2019-03-14 00:00:00
41,2019-03-16 00:00:00,2019-03-22 00:00:00
41,2019-03-26 00:00:00,2019-04-01 00:00:00
41,2019-04-05 00:00:00,2019-04-11 00:00:00
41,2019-04-12 00:00:00,2019-04-18 00:00:00
41,2019-04-19 00:00:00,2019-04-25 00:00:00
41,2019-04-29 00:00:00,2019-05-05 00:00:00
42,2019-01-01 00:00:00,2019-01-07 00:00:00
42,2019-01-08 00:00:00,2019-01-14 00:00:00
42,2019-01-16 00:00:00,2019-01-22 00:00:00
42,2019-01-25 00:00:00,2019-01-31 00:00:00
42,2019-02-03 00:00:00,2019-02-09 00:00:00
42,2019-02-12 00:00:00,2019-02-18 00:00:00
42,2019-02-20 00:00:00,2019-02-26 00:00:00
42,2019-02-27 00:00:00,2019-03-05 00:00:00
42,2019-03-06 00:00:00,2019-03-12 00:00:00
42,2019-03-13 00:00:00,2019-03-19 00:00:00
42,2019-03-20 00:00:00,2019-03-26 00:00:00
42,2019-03-30 00:00:00,2019-04-05 00:00:00
42,2019-04-08 00:00:00,2019-04-14 00:00:00
42,2019-04-15 00:00:00,2019-04-21 00:00:00
42,2019-04-22 00:00:00,2019-04-28 00:00:00
42,2019-05-01 00:00:00,2019-05-07 00:00:00
42,2019-05-09 00:00:00,2019-05-15 00:00:00
42,2019-05-16 00:00:00,2019-05-22 00:00:00
43,2019-01-01 00:00:00,2019-01-07 00:00:00
43,2019-01-09 00:00:00,2019-01-15 00:00:00
43,2019-01-16 00:00:00,2019-01-22 00:00:00
43,2019-01-25 00:00:00,2019-01-31 00:00:00
43,2019-02-01 00:00:00,2019-02-07 00:00:00
43,2019-02-08 00:00:00,2019-02-14 00:00:00
43,2019-02-15 00:00:00,2019-02-21 00:00:00
43,2019-02-23 00:00:00,2019-03-01 00:00:00
43,2019-03-03 00:00:00,2019-03-09 00:00:00
43,2019-03-10 00:00:00,2019-03-16 00:00:00
43,2019-03-18 00:00:00,2019-03-24 00:00:00
43,2019-03-27 00:00:00,2019-04-02 00:00:00
43,2019-04-05 00:00:00,2019-04-11 00:00:00
43,2019-04-15 00:00:00,2019-04-21 00:00:00
43,2019-04-24 00:00:00,2019-04-30 00:00:00
43,2019-05-02 00:00:00,2019-05-08 00:00:00
43,2019-05-09 00:00:00,2019-05-15 00:00:00
43,2019-05-19 00:00:00,2019-05-25 00:00:00
43,2019-05-29 00:00:00,2019-06-04 00:00:00
44,2019-01-01 00:00:00,2019-01-07 00:00:00
44,2019-01-11 00:00:00,2019-01-17 00:00:00
44,2019-01-21 00:00:00,2019-01-27 00:00:00
44,2019-01-28 00:00:00,2019-02-03 00:00:00
44,2019-02-04 00:00:00,2019-02-10 00:00:00
44,2019-02-12 00:00:00,2019-02-18 00:00:00
44,2019-02-22 00:00:00,2019-02-28 00:00:00
44,2019-03-04 00:00:00,2019-03-10 00:00:00
44,2019-03-12 00:00:00,2019-03-18 00:00:00
44,2019-03-19 00:00:00,2019-03-25 00:00:00
45,2019-01-01 00:00:00,2019-01-07 00:00:00
45,2019-01-08 00:00:00,2019-01-14 00:00:00
45,2019-01-18 00:00:00,2019-01-24 00:00:00
45,2019-01-28 00:00:00,2019-02-03 00:00:00
45,2019-02-05 00:00:00,2019-02-11 00:00:00
45,2019-02-14 00:00:00,2019-02-20 00:00:00
45,2019-02-23 00:00:00,2019-03-01 00:00:00
45,2019-03-04 00:00:00,2019-03-10 00:00:00
45,2019-03-12 00:00:00,2019-03-18 00:00:00
45,2019-03-20 00:00:00,2019-03-26 00:00:00
45,2019-03-29 00:00:00,2019-04-04 00:00:00
45,2019-04-07 00:00:00,2019-04-13 00:00:00
45,2019-04-17 00:00:00,2019-04-23 00:00:00
46,2019-01-01 00:00:00,2019-01-07 00:00:00
46,2019-01-08 00:00:00,2019-01-14 00:00:00
46,2019-01-16 00:00:00,2019-01-22 00:00:00
46,2019-01-25 00:00:00,2019-01-31 00:00:00
46,2019-02-03 00:00:00,2019-02-09 00:00:00
46,2019-02-11 00:00:00,2019-02-17 00:00:00
46,2019-02-18 00:00:00,2019-02-24 00:00:00
46,2019-02-27 00:00:00,2019-03-05 00:00:00
46,2019-03-06 00:00:00,2019-03-12 00:00:00
46,2019-03-16 00:00:00,2019-03-22 00:00:00
46,2019-03-26 00:00:00,2019-04-01 00:00:00
46,2019-04-03 00:00:00,2019-04-09 00:00:00
47,2019-01-01 00:00:00,2019-01-07 00:00:00
47,2019-01-11 00:00:00,2019-01-17 00:00:00
47,2019-01-19 00:00:00,2019-01-25 00:00:00
47,2019-01-27 00:00:00,2019-02-02 00:00:00
47,2019-02-05 00:00:00,2019-02-11 00:00:00
47,2019-02-12 00:00:00,2019-02-18 00:00:00
47,2019-02-21 00:00:00,2019-02-27 00:00:00
47,2019-02-28 00:00:00,2019-03-06 00:00:00
47,2019-03-09 00:00:00,2019-03-15 00:00:00
47,2019-03-18 00:00:00,2019-03-24 00:00:00
47,2019-03-28 00:00:00,2019-04-03 00:00:00
47,2019-04-05 00:00:00,2019-04-11 00:00:00
48,2019-01-01 00:00:00,2019-01-07 00:00:00
48,2019-01-09 00:00:00,2019-01-15 00:00:00
48,2019-01-19 00:00:00,2019-01-25 00:00:00
48,2019-01-28 00:00:00,2019-02-03 00:00:00
48,2019-02-05 00:00:00,2019-02-11 00:00:00
48,2019-02-12 00:00:00,2019-02-18 00:00:00
48,2019-02-20 00:00:00,2019-02-26 00:00:00
48,2019-03-02 00:00:00,2019-03-08 00:00:00
48,2019-03-09 00:00:00,2019-03-15 00:00:00
48,2019-03-16 00:00:00,2019-03-22 00:00:00
48,2019-03-23 00:00:00,2019-03-29 00:00:00
48,2019-04-02 00:00:00,2019-04-08 00:00:00
48,2019-04-09 00:00:00,2019-04-15 00:00:00
48,2019-04-16 00:00:00,2019-04-22 00:00:00
48,2019-04-24 00:00:00,2019-04-30 00:00:00
48,2019-05-01 00:00:00,2019-05-07 00:00:00
48,2019-05-08 00:00:00,2019-05-14 00:00:00
48,2019-05-16 00:00:00,2019-05-22 00:00:00
49,2019-01-01 00:00:00,2019-01-07 00:00:00
49,2019-01-09 00:00:00,2019-01-15 00:00:00
49,2019-01-17 00:00:00,2019-01-23 00:00:00
49,2019-01-25 00:00:00,2019-01-31 00:00:00
49,2019-02-01 00:00:00,2019-02-07 00:00:00
49,2019-02-09 00:00:00,2019-02-15 00:00:00
49,2019-02-16 00:00:00,2019-02-22 00:00:00
49,2019-02-23 00:00:00,2019-03-01 00:00:00
49,2019-03-05 00:00:00,2019-03-11 00:00:00
49,2019-03-12 00:00:00,2019-03-18 00:00:00
49,2019-03-20 00:00:00,2019-03-26 00:00:00
49,2019-03-29 00:00:00,2019-04-04 00:00:00
49,2019-04-07 00:00:00,2019-04-13 00:00:00
49,2019-04-17 00:00:00,2019-04-23 00:00:00
49,2019-04-25 00:00:00,2019-05-01 00:00:00
49,2019-05-03 00:00:00,2019-05-09 00:00:00
50,2019-01-01 00:00:00,2019-01-07 00:00:00
50,2019-01-08 00:00:00,2019-01-14 00:00:00
50,2019-01-18 00:00:00,2019-01-24 00:00:00
50,2019-01-26 00:00:00,2019-02-01 00:00:00
50,2019-02-02 00:00:00,2019-02-08 00:00:00
50,2019-02-09 00:00:00,2019-02-15 00:00:00
50,2019-02-16 00:00:00,2019-02-22 00:00:00
50,2019-02-26 00:00:00,2019-03-04 00:00:00
50,2019-03-07 00:00:00,2019-03-13 00:00:00
50,2019-03-16 00:00:00,2019-03-22 00:00:00
50,2019-03-26 00:00:00,2019-04-01 00:00:00
50,2019-04-02 00:00:00,2019-04-08 00:00:00
50,2019-04-10 00:00:00,2019-04-16 00:00:00
50,2019-04-20 00:00:00,2019-04-26 00:00:00
50,2019-04-29 00:00:00,2019-05-05 00:00:00
50,2019-05-07 00:00:00,2019-05-13 00:00:00
50,2019-05-15 00:00:00,2019-05-21 00:00:00
50,2019-05-22 00:00:00,2019-05-28 00:00:00
51,2019-01-01 00:00:00,2019-01-07 00:00:00
51,2019-01-10 00:00:00,2019-01-16 00:00:00
51,2019-01-17 00:00:00,2019-01-23 00:00:00
51,2019-01-25 00:00:00,2019-01-31 00:00:00
51,2019-02-03 00:00:00,2019-02-09 00:00:00
51,2019-02-13 00:00:00,2019-02-19 00:00:00
51,2019-02-23 00:00:00,2019-03-01 00:00:00
51,2019-03-05 00:00:00,2019-03-11 00:00:00
51,2019-03-14 00:00:00,2019-03-20 00:00:00
51,2019-03-24 00:00:00,2019-03-30 00:00:00
51,2019-04-02 00:00:00,2019-04-08 00:00:00
51,2019-04-12 00:00:00,2019-04-18 00:00:00
52,2019-01-01 00:00:00,2019-01-07 00:00:00
52,2019-01-11 00:00:00,2019-01-17 00:00:00
52,2019-01-20 00:00:00,2019-01-26 00:00:00
52,2019-01-28 00:00:00,2019-02-03 00:00:00
52,2019-02-05 00:00:00,2019-02-11 00:00:00
52,2019-02-14 00:00:00,2019-02-20 00:00:00
52,2019-02-22 00:00:00,2019-02-28 00:00:00
52,2019-03-03 00:00:00,2019-03-09 00:00:00
52,2019-03-13 00:00:00,2019-03-19 00:00:00
52,2019-03-21 00:00:00,2019-03-27 00:00:00
52,2019-03-31 00:00:00,2019-04-06 00:00:00
52,2019-04-09 00:00:00,2019-04-15 00:00:00
52,2019-04-16 00:00:00,2019-04-22 00:00:00
52,2019-04-23 00:00:00,2019-04-29 00:00:00
53,2019-01-01 00:00:00,2019-01-07 00:00:00
53,2019-01-08 00:00:00,2019-01-14 00:00:00
53,2019-01-17 00:00:00,2019-01-23 00:00:00
53,2019-01-24 00:00:00,2019-01-30 00:00:00
53,2019-02-01 00:00:00,2019-02-07 00:00:00
53,2019-02-09 00:00:00,2019-02-15 00:00:00
53,2019-02-19 00:00:00,2019-02-25 00:00:00
53,2019-03-01 00:00:00,2019-03-07 00:00:00
53,2019-03-11 00:00:00,2019-03-17 00:00:00
53,2019-03-18 00:00:00,2019-03-24 00:00:00
53,2019-03-25 00:00:00,2019-03-31 00:00:00
53,2019-04-02 00:00:00,2019-04-08 00:00:00
53,2019-04-11 00:00:00,2019-04-17 00:00:00
53,2019-04-20 00:00:00,2019-04-26 00:00:00
53,2019-04-28 00:00:00,2019-05-04 00:00:00
54,2019-01-01 00:00:00,2019-01-07 00:00:00
54,2019-01-10 00:00:00,2019-01-16 00:00:00
54,2019-01-17 00:00:00,2019-01-23 00:00:00
54,2019-01-27 00:00:00,2019-02-02 00:00:00
54,2019-02-04 00:00:00,2019-02-10 00:00:00
54,2019-02-14 00:00:00,2019-02-20 00:00:00
54,2019-02-23 00:00:00,2019-03-01 00:00:00
54,2019-03-03 00:00:00,2019-03-09 00:00:00
54,2019-03-11 00:00:00,2019-03-17 00:00:00
54,2019-03-21 00:00:00,2019-03-27 00:00:00
54,2019-03-28 00:00:00,2019-04-03 00:00:00
54,2019-04-06 00:00:00,2019-04-12 00:00:00
54,2019-04-14 00:00:00,2019-04-20 00:00:00
54,2019-04-23 00:00:00,2019-04-29 00:00:00
55,2019-01-01 00:00:00,2019-01-07 00:00:00
55,2019-01-10 00:00:00,2019-01-16 00:00:00
55,2019-01-18 00:00:00,2019-01-24 00:00:00
55,2019-01-27 00:00:00,2019-02-02 00:00:00
